*	* |
khá	KHI AN2_5 |
phép	PHI EN_5 PC_5 |
nhạc	NHI AN1_1 KC_1 |
cáo	KI AN2_5 UC_5 |
rộng	RI ÔN_1 NGC_1 |
trách	TRI AN1_5 KC_5 |
u	UN_0 |
phẩy	PHI ÂN_2 YC_2 |
xanh	XI AN1_0 NGC_0 |
mùa	MI UÔN_4 |
đỏ	DI ON2_2 |
tránh	TRI AN1_5 NGC_5 |
ngoại	NGI WO_1 AN2_1 IC_1 |
vượt	VI ƯƠN_1 TC_1 |
nguồn	NGI UÔN_4 NC_4 |
đóng	DI ON1_5 NGC_5 |
huy	HI UN_0 YC_0 |
tố	TI ÔN_5 |
môi	MI ÔN_0 IC_0 |
mong	MI ON1_0 NGC_0 |
cậu	KI ÂN_1 UC_1 |
vạn	VI AN2_1 NC_1 |
lãnh	LI AN1_3 NGC_3 |
đọc	DI ON1_1 KC_1 |
giận	ZI ÂN_1 NC_1 |
huyết	HI WO_5 YÊN_5 TC_5 |
thúc	THI UN_5 KC_5 |
vội	VI ÔN_1 IC_1 |
trắng	TRI AN3_5 NGC_5 |
xúc	XI UN_5 KC_5 |
nửa	NI ƯƠN_2 |
uy	UN_0 YC_0 |
nhẹ	NHI EN_1 |
ép	EN_5 PC_5 |
cầm	KI ÂN_4 MC_4 |
gã	GI AN2_3 |
đứa	DI ƯƠN_5 |
tốc	TI ÔN_5 KC_5 |
chừng	CHI ƯN_4 NGC_4 |
hoạch	HI WO_1 AN1_1 KC_1 |
cháu	CHI AN3_5 UC_5 |
rơi	RI ƠN_0 IC_0 |
lôi	LI ÔN_0 IC_0 |
ngân	NGI ÂN_0 NC_0 |
phút	PHI UN_5 TC_5 |
lĩnh	LI IN_3 NGC_3 |
hùng	HI UN_4 NGC_4 |
tiện	TI IÊN_1 NC_1 |
cát	KI AN2_5 TC_5 |
nhảy	NHI AN3_2 YC_2 |
cụ	KI UN_1 |
quen	KI WO_0 EN_0 NC_0 |
tuyển	TI WO_2 YÊN_2 NC_2 |
lưng	LI ƯN_0 NGC_0 |
ghi	GI IN_0 |
đảng	DI AN1_2 NGC_2 |
đế	DI ÊN_5 |
ký	KI IN_5 |
dược	ZI ƯƠN_1 KC_1 |
tuần	TI WO_4 ÂN_4 NC_4 |
khoa	KHI WO_0 AN2_0 |
ơi	ƠN_0 IC_0 |
đỡ	DI ƠC_3 |
sẻ	SI EN_2 |
gió	ZI ON2_5 |
may	MI AN3_0 YC_0 |
dừng	ZI ƯN_4 NGC_4 |
ngũ	NGI UN_3 |
cửu	KI ƯN_2 UC_2 |
khán	KHI AN2_5 NC_5 |
rút	RI UN_5 TC_5 |
khổ	KHI ÔN_2 |
sông	SI ÔN_0 NGC_0 |
liệt	LI IÊN_1 TC_1 |
rừng	RI ƯN_4 NGC_4 |
uống	UÔN_5 NGC_5 |
mô	MI ÔN_0 |
đê	DI ÊN_0 |
nghề	NGI ÊN_4 |
thằng	THI AN3_4 NGC_4 |
tê	TI ÊN_0 |
thuốc	THI UÔN_5 KC_5 |
ủy	UN_2 YC_2 |
hỏa	HI WO_2 AN2_2 |
cục	KI UN_1 KC_1 |
tĩnh	TI IN_3 NGC_3 |
nghi	NGI IN_0 |
mê	MI ÊN_0 |
hiệp	HI IÊN_1 PC_1 |
sắp	SI AN3_5 PC_5 |
quỷ	KI UN_2 YC_2 |
tuyến	TI WO_5 YÊN_5 NC_5 |
phù	PHI UN_4 |
tung	TI UN_0 NGC_0 |
phu	PHI UN_0 |
dần	ZI ÂN_4 NC_4 |
hả	HI AN2_2 |
viết	VI IÊN_5 TC_5 |
nhiệt	NHI IÊN_1 TC_1 |
e	EN_0 |
thấp	THI ÂN_5 PC_5 |
hắc	HI AN3_5 KC_5 |
phúc	PHI UN_5 KC_5 |
đẩy	DI ÂN_2 YC_2 |
chữ	CHI ƯC_3 |
nâng	NI ÂN_0 NGC_0 |
bỗng	BI ÔN_3 NGC_3 |
tội	TI ÔN_1 IC_1 |
thừa	THI ƯƠN_4 |
nguyệt	NGI WO_1 YÊN_1 TC_1 |
chấp	CHI ÂN_5 PC_5 |
nặng	NI AN3_1 NGC_1 |
mốt	MI ÔN_5 TC_5 |
kiểu	KI IÊN_2 UC_2 |
biên	BI IÊN_0 NC_0 |
khẩu	KHI ÂN_2 UC_2 |
ừ	ƯC_4 |
dành	ZI AN1_4 NGC_4 |
ấn	ÂN_5 NC_5 |
thánh	THI AN1_5 NGC_5 |
toán	TI WO_5 AN2_5 NC_5 |
ninh	NI IN_0 NGC_0 |
tơ	TI ƠC_0 |
hề	HI ÊN_4 |
dạy	ZI AN3_1 YC_1 |
nghiên	NGI IÊN_0 NC_0 |
thuận	THI WO_1 ÂN_1 NC_1 |
thở	THI ƠC_2 |
trông	TRI ÔN_0 NGC_0 |
mũi	MI UN_3 IC_3 |
binh	BI IN_0 NGC_0 |
vang	VI AN1_0 NGC_0 |
dạng	ZI AN1_1 NGC_1 |
rời	RI ƠN_4 IC_4 |
kịp	KI IN_1 PC_1 |
mờ	MI ƠC_4 |
da	ZI AN2_0 |
khởi	KHI ƠN_2 IC_2 |
huyền	HI WO_4 YÊN_4 NC_4 |
lạ	LI AN2_1 |
đoán	DI WO_5 AN2_5 NC_5 |
lửa	LI ƯƠN_2 |
giản	ZI AN2_2 NC_2 |
hỗ	HI ÔN_3 |
tấn	TI ÂN_5 NC_5 |
đem	DI EN_0 MC_0 |
hương	HI ƯƠN_0 NGC_0 |
tải	TI AN2_2 IC_2 |
hẳn	HI AN3_2 NC_2 |
già	ZI AN2_4 |
đài	DI AN2_4 IC_4 |
phú	PHI UN_5 |
ngừng	NGI ƯN_4 NGC_4 |
thơ	THI ƠC_0 |
đỉnh	DI IN_2 NGC_2 |
dị	ZI IN_1 |
hào	HI AN2_4 UC_4 |
nhờ	NHI ƠC_4 |
thượng	THI ƯƠN_1 NGC_1 |
bức	BI ƯN_5 KC_5 |
lương	LI ƯƠN_0 NGC_0 |
ơ	ƠC_0 |
mẽ	MI EN_3 |
bắn	BI AN3_5 NC_5 |
mã	MI AN2_3 |
cha	CHI AN2_0 |
trương	TRI ƯƠN_0 NGC_0 |
ngang	NGI AN1_0 NGC_0 |
tầm	TI ÂN_4 MC_4 |
thoát	THI WO_5 AN2_5 TC_5 |
góc	GI ON1_5 KC_5 |
bại	BI AN2_1 IC_1 |
ly	LI IN_0 |
ngược	NGI ƯƠN_1 KC_1 |
xưa	XI ƯƠN_0 |
xuyên	XI WO_0 YÊN_0 NC_0 |
mối	MI ÔN_5 IC_5 |
giám	ZI AN2_5 MC_5 |
chậm	CHI ÂN_1 MC_1 |
chặt	CHI AN3_1 TC_1 |
lựa	LI ƯƠN_1 |
trấn	TRI ÂN_5 NC_5 |
khối	KHI ÔN_5 IC_5 |
tô	TI ÔN_0 |
thù	THI UN_4 |
nuôi	NI UÔN_0 IC_0 |
mừng	MI ƯN_4 NGC_4 |
quần	KI WO_4 ÂN_4 NC_4 |
tứ	TI ƯC_5 |
chu	CHI UN_0 |
lệnh	LI ÊN_1 NGC_1 |
góp	GI ON2_5 PC_5 |
buổi	BI UÔN_2 IC_2 |
miền	MI IÊN_4 NC_4 |
xấu	XI ÂN_5 UC_5 |
ngủ	NGI UN_2 |
trì	TRI IN_4 |
trầm	TRI ÂN_4 MC_4 |
tia	TI IAN_0 |
phim	PHI IN_0 MC_0 |
mật	MI ÂN_1 TC_1 |
xuân	XI WO_0 ÂN_0 NC_0 |
lô	LI ÔN_0 |
ngăn	NGI AN3_0 NC_0 |
bậc	BI ÂN_1 KC_1 |
tận	TI ÂN_1 NC_1 |
dậy	ZI ÂN_1 YC_1 |
dấu	ZI ÂN_5 UC_5 |
kém	KI EN_5 MC_5 |
thí	THI IN_5 |
thảo	THI AN2_2 UC_2 |
phối	PHI ÔN_5 IC_5 |
thiệu	THI IÊN_1 UC_1 |
hư	HI ƯC_0 |
ngạc	NGI AN1_1 KC_1 |
tàu	TI AN3_4 UC_4 |
chấn	CHI ÂN_5 NC_5 |
muội	MI UÔN_1 IC_1 |
suốt	SI UÔN_5 TC_5 |
mạch	MI AN1_1 KC_1 |
dõi	ZI ON2_3 IC_3 |
tộc	TI ÔN_1 KC_1 |
gắng	GI AN3_5 NGC_5 |
đợi	DI ƠN_1 IC_1 |
xung	XI UN_0 NGC_0 |
tắc	TI AN3_5 KC_5 |
sẵn	SI AN3_3 NC_3 |
thưởng	THI ƯƠN_2 NGC_2 |
huống	HI UÔN_5 NGC_5 |
tuyết	TI WO_5 YÊN_5 TC_5 |
giật	ZI ÂN_1 TC_1 |
đón	DI ON2_5 NC_5 |
dục	ZI UN_1 KC_1 |
nạn	NI AN2_1 NC_1 |
mi	MI IN_0 |
hưng	HI ƯN_0 NGC_0 |
hầu	HI ÂN_4 UC_4 |
trai	TRI AN2_0 IC_0 |
thịt	THI IN_1 TC_1 |
chăm	CHI AN3_0 MC_0 |
cán	KI AN2_5 NC_5 |
khỏe	KHI WO_2 EN_2 |
lỗi	LI ÔN_3 IC_3 |
dàng	ZI AN1_4 NGC_4 |
nghỉ	NGI IN_2 |
lắng	LI AN3_5 NGC_5 |
nắng	NI AN3_5 NGC_5 |
hãi	HI AN2_3 IC_3 |
nhu	NHI UN_0 |
ẩn	ÂN_2 NC_2 |
trải	TRI AN2_2 IC_2 |
nhắc	NHI AN3_5 KC_5 |
quên	KI WO_0 ÊN_0 NC_0 |
lang	LI AN1_0 NGC_0 |
tạm	TI AN2_1 MC_1 |
tràn	TRI AN2_4 NC_4 |
buồn	BI UÔN_4 NC_4 |
tái	TI AN2_5 IC_5 |
ti	TI IN_0 |
sa	SI AN2_0 |
vững	VI ƯN_3 NGC_3 |
ngư	NGI ƯC_0 |
tụ	TI UN_1 |
mắc	MI AN3_5 KC_5 |
li	LI IN_0 |
hạnh	HI AN1_1 NGC_1 |
phái	PHI AN2_5 IC_5 |
suất	SI WO_5 ÂN_5 TC_5 |
niệm	NI IÊN_1 MC_1 |
dựa	ZI ƯƠN_1 |
thua	THI UÔN_0 |
thôn	THI ÔN_0 NC_0 |
ác	AN1_5 KC_5 |
mộ	MI ÔN_1 |
chiếm	CHI IÊN_5 MC_5 |
nối	NI ÔN_5 IC_5 |
thầm	THI ÂN_4 MC_4 |
lê	LI ÊN_0 |
đổ	DI ÔN_2 |
dòng	ZI ON1_4 NGC_4 |
khẳng	KHI AN3_2 NGC_2 |
thiện	THI IÊN_1 NC_1 |
lễ	LI ÊN_3 |
xếp	XI ÊN_5 PC_5 |
nổ	NI ÔN_2 |
nền	NI ÊN_4 NC_4 |
mơ	MI ƠC_0 |
hi	HI IN_0 |
dường	ZI ƯƠN_4 NGC_4 |
nhị	NHI IN_1 |
kỷ	KI IN_2 |
lui	LI UN_0 IC_0 |
nãy	NI AN3_3 YC_3 |
chóng	CHI ON1_5 NGC_5 |
hấp	HI ÂN_5 PC_5 |
biện	BI IÊN_1 NC_1 |
bổ	BI ÔN_2 |
cốt	KI ÔN_5 TC_5 |
loạn	LI WO_1 AN2_1 NC_1 |
dáng	ZI AN1_5 NGC_5 |
dư	ZI ƯC_0 |
cận	KI ÂN_1 NC_1 |
dũng	ZI UN_3 NGC_3 |
lũ	LI UN_3 |
khủng	KHI UN_2 NGC_2 |
trao	TRI AN2_0 UC_0 |
run	RI UN_0 NC_0 |
sóng	SI ON1_5 NGC_5 |
xi	XI IN_0 |
lá	LI AN2_5 |
ngôi	NGI ÔN_0 IC_0 |
xương	XI ƯƠN_0 NGC_0 |
phận	PHI ÂN_1 NC_1 |
nè	NI EN_4 |
sờ	SI ƠC_4 |
đăng	DI AN3_0 NGC_0 |
đà	DI AN2_4 |
tỏ	TI ON2_2 |
cuồng	KI UÔN_4 NGC_4 |
ước	ƯƠN_5 KC_5 |
lam	LI AN2_0 MC_0 |
nhược	NHI ƯƠN_1 KC_1 |
bạc	BI AN1_1 KC_1 |
nhằm	NHI AN3_4 MC_4 |
nháy	NHI AN3_5 YC_5 |
đuổi	DI UÔN_2 IC_2 |
si	SI IN_0 |
mệnh	MI ÊN_1 NGC_1 |
dĩ	ZI IN_3 |
dữ	ZI ƯC_3 |
ổn	ÔN_2 NC_2 |
sánh	SI AN1_5 NGC_5 |
gửi	GI ƯN_2 IC_2 |
đích	DI IN_5 KC_5 |
lặng	LI AN3_1 NGC_1 |
chạm	CHI AN2_1 MC_1 |
ưu	ƯN_0 UC_0 |
bang	BI AN1_0 NGC_0 |
ngập	NGI ÂN_1 PC_1 |
bờ	BI ƠC_4 |
cắt	KI AN3_5 TC_5 |
gật	GI ÂN_1 TC_1 |
mái	MI AN2_5 IC_5 |
mãi	MI AN2_3 IC_3 |
bảng	BI AN1_2 NGC_2 |
bầu	BI ÂN_4 UC_4 |
ngắn	NGI AN3_5 NC_5 |
tan	TI AN2_0 NC_0 |
khắp	KHI AN3_5 PC_5 |
cân	KI ÂN_0 NC_0 |
diệt	ZI IÊN_1 TC_1 |
tim	TI IN_0 MC_0 |
vít	VI IN_5 TC_5 |
hận	HI ÂN_1 NC_1 |
dứt	ZI ƯN_5 TC_5 |
tán	TI AN2_5 NC_5 |
tàn	TI AN2_4 NC_4 |
màn	MI AN2_4 NC_4 |
mạo	MI AN2_1 UC_1 |
chục	CHI UN_1 KC_1 |
dây	ZI ÂN_0 YC_0 |
vê	VI ÊN_0 |
rượu	RI ƯƠN_1 UC_1 |
gồm	GI ÔN_4 MC_4 |
tấm	TI ÂN_5 MC_5 |
tao	TI AN2_0 UC_0 |
chiếu	CHI IÊN_5 UC_5 |
giấy	ZI ÂN_5 YC_5 |
chớp	CHI ƠN_5 PC_5 |
cư	KI ƯC_0 |
bá	BI AN2_5 |
tịch	TI IN_1 KC_1 |
hung	HI UN_0 NGC_0 |
che	CHI EN_0 |
tuyên	TI WO_0 YÊN_0 NC_0 |
thiệt	THI IÊN_1 TC_1 |
gấp	GI ÂN_5 PC_5 |
dưỡng	ZI ƯƠN_3 NGC_3 |
nữu	NI ƯN_3 UC_3 |
cất	KI ÂN_5 TC_5 |
thoại	THI WO_1 AN2_1 IC_1 |
ngã	NGI AN2_3 |
ngựa	NGI ƯƠN_1 |
nỗi	NI ÔN_3 IC_3 |
cũ	KI UN_3 |
tường	TI ƯƠN_4 NGC_4 |
hôn	HI ÔN_0 NC_0 |
sàng	SI AN1_4 NGC_4 |
thụ	THI UN_1 |
lùng	LI UN_4 NGC_4 |
bật	BI ÂN_1 TC_1 |
lắc	LI AN3_5 KC_5 |
cử	KI ƯC_2 |
ôm	ÔN_0 MC_0 |
rô	RI ÔN_0 |
tồn	TI ÔN_4 NC_4 |
bi	BI IN_0 |
tóc	TI ON1_5 KC_5 |
tân	TI ÂN_0 NC_0 |
soát	SI WO_5 AN2_5 TC_5 |
thao	THI AN2_0 UC_0 |
trúng	TRI UN_5 NGC_5 |
niềm	NI IÊN_4 MC_4 |
tươi	TI ƯƠN_0 IC_0 |
siêu	SI IÊN_0 UC_0 |
tùy	TI UN_4 YC_4 |
chém	CHI EN_5 MC_5 |
hán	HI AN2_5 NC_5 |
cản	KI AN2_2 NC_2 |
trồng	TRI ÔN_4 NGC_4 |
thác	THI AN1_5 KC_5 |
chấm	CHI ÂN_5 MC_5 |
cải	KI AN2_2 IC_2 |
bạo	BI AN2_1 UC_1 |
ương	ƯƠN_0 NGC_0 |
tuấn	TI WO_5 ÂN_5 NC_5 |
hút	HI UN_5 TC_5 |
quát	KI UÔN_5 TC_5 |
nhá	NHI AN2_5 |
bày	BI AN3_4 YC_4 |
hạng	HI AN1_1 NGC_1 |
tín	TI IN_5 NC_5 |
ngọn	NGI ON2_1 NC_1 |
ngạo	NGI AN2_1 UC_1 |
má	MI AN2_5 |
vết	VI ÊN_5 TC_5 |
na	NI AN2_0 |
chữa	CHI ƯƠN_3 |
trượng	TRI ƯƠN_1 NGC_1 |
chằm	CHI AN3_4 MC_4 |
vỡ	VI ƠC_3 |
bẩy	BI ÂN_2 YC_2 |
xoay	XI WO_0 AN3_0 YC_0 |
tả	TI AN2_2 |
ngôn	NGI ÔN_0 NC_0 |
buộc	BI UÔN_1 KC_1 |
tròn	TRI ON2_4 NC_4 |
bách	BI AN1_5 KC_5 |
hài	HI AN2_4 IC_4 |
lát	LI AN2_5 TC_5 |
tựa	TI ƯƠN_1 |
lượt	LI ƯƠN_1 TC_1 |
bào	BI AN2_4 UC_4 |
vung	VI UN_0 NGC_0 |
kê	KI ÊN_0 |
trùng	TRI UN_4 NGC_4 |
trào	TRI AN2_4 UC_4 |
cặp	KI AN3_1 PC_1 |
phượng	PHI ƯƠN_1 NGC_1 |
quán	KI UÔN_5 NC_5 |
ngực	NGI ƯN_1 KC_1 |
phật	PHI ÂN_1 TC_1 |
tụi	TI UN_1 IC_1 |
ám	AN2_5 MC_5 |
âu	ÂN_0 UC_0 |
thăm	THI AN3_0 MC_0 |
tà	TI AN2_4 |
tổn	TI ÔN_2 NC_2 |
đốc	DI ÔN_5 KC_5 |
sạch	SI AN1_1 KC_1 |
khóc	KHI ON1_5 KC_5 |
luồng	LI UÔN_4 NGC_4 |
ngon	NGI ON2_0 NC_0 |
chợt	CHI ƠN_1 TC_1 |
khẽ	KHI EN_3 |
kiên	KI IÊN_0 NC_0 |
hoài	HI WO_4 AN2_4 IC_4 |
chảy	CHI AN3_2 YC_2 |
khôi	KHI ÔN_0 IC_0 |
sửa	SI ƯƠN_2 |
thai	THI AN2_0 IC_0 |
vĩnh	VI IN_3 NGC_3 |
canh	KI AN1_0 NGC_0 |
phổ	PHI ÔN_2 |
diệu	ZI IÊN_1 UC_1 |
nét	NI EN_5 TC_5 |
ôn	ÔN_0 NC_0 |
cương	KI ƯƠN_0 NGC_0 |
tháp	THI AN2_5 PC_5 |
cơm	KI ƠN_0 MC_0 |
nhé	NHI EN_5 |
lẫn	LI ÂN_3 NC_3 |
n	NI |
chúc	CHI UN_5 KC_5 |
trốn	TRI ÔN_5 NC_5 |
đập	DI ÂN_1 PC_1 |
bấm	BI ÂN_5 MC_5 |
nhiễm	NHI IÊN_3 MC_3 |
tỏa	TI WO_2 AN2_2 |
sương	SI ƯƠN_0 NGC_0 |
thước	THI ƯƠN_5 KC_5 |
ngại	NGI AN2_1 IC_1 |
thách	THI AN1_5 KC_5 |
hẹn	HI EN_1 NC_1 |
quê	KI WO_0 ÊN_0 |
thuyền	THI WO_4 YÊN_4 NC_4 |
duyên	ZI WO_0 YÊN_0 NC_0 |
hạt	HI AN2_1 TC_1 |
ki	KI IN_0 |
đòi	DI ON2_4 IC_4 |
lối	LI ÔN_5 IC_5 |
đắc	DI AN3_5 KC_5 |
gương	GI ƯƠN_0 NGC_0 |
phạt	PHI AN2_1 TC_1 |
cốc	KI ÔN_5 KC_5 |
hoang	HI WO_0 AN1_0 NGC_0 |
mau	MI AN3_0 UC_0 |
truy	TRI UN_0 YC_0 |
bát	BI AN2_5 TC_5 |
tỉ	TI IN_2 |
thúy	THI UN_5 YC_5 |
cướp	KI ƯƠN_5 PC_5 |
cơn	KI ƠN_0 NC_0 |
dao	ZI AN2_0 UC_0 |
đinh	DI IN_0 NGC_0 |
giỏi	ZI ON2_2 IC_2 |
khám	KHI AN2_5 MC_5 |
tuệ	TI WO_1 ÊN_1 |
oanh	WO_0 AN1_0 NGC_0 |
mại	MI AN2_1 IC_1 |
hàm	HI AN2_4 MC_4 |
răng	RI AN3_0 NGC_0 |
gà	GI AN2_4 |
sóc	SI ON1_5 KC_5 |
lầm	LI ÂN_4 MC_4 |
khúc	KHI UN_5 KC_5 |
cháy	CHI AN3_5 YC_5 |
kênh	KI ÊN_0 NGC_0 |
man	MI AN2_0 NC_0 |
chỉnh	CHI IN_2 NGC_2 |
buông	BI UÔN_0 NGC_0 |
tòa	TI WO_4 AN2_4 |
bão	BI AN2_3 UC_3 |
mộng	MI ÔN_1 NGC_1 |
hứng	HI ƯN_5 NGC_5 |
lùi	LI UN_4 IC_4 |
phức	PHI ƯN_5 KC_5 |
nụ	NI UN_1 |
tiếc	TI IÊN_5 KC_5 |
lỗ	LI ÔN_3 |
cờ	KI ƠC_4 |
hy	HI IN_0 |
tặng	TI AN3_1 NGC_1 |
sung	SI UN_0 NGC_0 |
lược	LI ƯƠN_1 KC_1 |
thận	THI ÂN_1 NC_1 |
xông	XI ÔN_0 NGC_0 |
giây	ZI ÂN_0 YC_0 |
tọa	TI WO_1 AN2_1 |
cẩn	KI ÂN_2 NC_2 |
ga	GI AN2_0 |
ngô	NGI ÔN_0 |
tạp	TI AN2_1 PC_1 |
chốt	CHI ÔN_5 TC_5 |
gốc	GI ÔN_5 KC_5 |
điên	DI IÊN_0 NC_0 |
gắn	GI AN3_5 NC_5 |
nấu	NI ÂN_5 UC_5 |
nát	NI AN2_5 TC_5 |
chụp	CHI UN_1 PC_1 |
in	IN_0 NC_0 |
ngữ	NGI ƯC_3 |
đợt	DI ƠN_1 TC_1 |
cấu	KI ÂN_5 UC_5 |
xinh	XI IN_0 NGC_0 |
mỉm	MI IN_2 MC_2 |
bữa	BI ƯƠN_3 |
ngón	NGI ON2_5 NC_5 |
vọt	VI ON2_1 TC_1 |
quà	KI UÔN_4 |
bò	BI ON2_4 |
mưu	MI ƯN_0 UC_0 |
cập	KI ÂN_1 PC_1 |
mãn	MI AN2_3 NC_3 |
tha	THI AN2_0 |
kháng	KHI AN1_5 NGC_5 |
mắn	MI AN3_5 NC_5 |
hằng	HI AN3_4 NGC_4 |
chúa	CHI UÔN_5 |
hô	HI ÔN_0 |
cứng	KI ƯN_5 NGC_5 |
can	KI AN2_0 NC_0 |
nhãn	NHI AN2_3 NC_3 |
thập	THI ÂN_1 PC_1 |
đẳng	DI AN3_2 NGC_2 |
chuyến	CHI WO_5 YÊN_5 NC_5 |
mảnh	MI AN1_2 NGC_2 |
phấn	PHI ÂN_5 NC_5 |
thảm	THI AN2_2 MC_2 |
bụng	BI UN_1 NGC_1 |
miễn	MI IÊN_3 NC_3 |
cuốn	KI UÔN_5 NC_5 |
trúc	TRI UN_5 KC_5 |
vây	VI ÂN_0 YC_0 |
vẽ	VI EN_3 |
thả	THI AN2_2 |
nghèo	NGI EN_4 UC_4 |
chứa	CHI ƯƠN_5 |
nhàng	NHI AN1_4 NGC_4 |
khống	KHI ÔN_5 NGC_5 |
mãnh	MI AN1_3 NGC_3 |
hiển	HI IÊN_2 NC_2 |
rối	RI ÔN_5 IC_5 |
nhạt	NHI AN2_1 TC_1 |
thoáng	THI WO_5 AN1_5 NGC_5 |
i	IN_0 |
giấu	ZI ÂN_5 UC_5 |
pha	PHI AN2_0 |
kịch	KI IN_1 KC_1 |
pháo	PHI AN2_5 UC_5 |
mềm	MI ÊN_4 MC_4 |
nhã	NHI AN2_3 |
đoạt	DI WO_1 AN2_1 TC_1 |
mùng	MI UN_4 NGC_4 |
sắt	SI AN3_5 TC_5 |
làng	LI AN1_4 NGC_4 |
vong	VI ON1_0 NGC_0 |
mát	MI AN2_5 TC_5 |
tờ	TI ƠC_4 |
đâm	DI ÂN_0 MC_0 |
ngộ	NGI ÔN_1 |
quét	KI WO_5 EN_5 TC_5 |
nguyện	NGI WO_1 YÊN_1 NC_1 |
ngự	NGI ƯC_1 |
khinh	KHI IN_0 NGC_0 |
vinh	VI IN_0 NGC_0 |
nhắm	NHI AN3_5 MC_5 |
giáp	ZI AN2_5 PC_5 |
ngưng	NGI ƯN_0 NGC_0 |
chặn	CHI AN3_1 NC_1 |
ri	RI IN_0 |
mệt	MI ÊN_1 TC_1 |
bánh	BI AN1_5 NGC_5 |
kiếp	KI IÊN_5 PC_5 |
ói	ON2_5 IC_5 |
chăng	CHI AN3_0 NGC_0 |
thuê	THI WO_0 ÊN_0 |
giơ	ZI ƠC_0 |
điền	DI IÊN_4 NC_4 |
khóa	KHI WO_5 AN2_5 |
tú	TI UN_5 |
thuyết	THI WO_5 YÊN_5 TC_5 |
tí	TI IN_5 |
bích	BI IN_5 KC_5 |
tệ	TI ÊN_1 |
khô	KHI ÔN_0 |
va	VI AN2_0 |
mùi	MI UN_4 IC_4 |
hộp	HI ÔN_1 PC_1 |
nờ	NI ƠC_4 |
nọ	NI ON2_1 |
lích	LI IN_5 KC_5 |
hang	HI AN1_0 NGC_0 |
ảo	AN2_2 UC_2 |
xích	XI IN_5 KC_5 |
đằng	DI AN3_4 NGC_4 |
diễm	ZI IÊN_3 MC_3 |
đo	DI ON2_0 |
vỗ	VI ÔN_3 |
trống	TRI ÔN_5 NGC_5 |
quận	KI WO_1 ÂN_1 NC_1 |
trụ	TRI UN_1 |
điệp	DI IÊN_1 PC_1 |
lành	LI AN1_4 NGC_4 |
kình	KI IN_4 NGC_4 |
khoản	KHI WO_2 AN2_2 NC_2 |
ngu	NGI UN_0 |
nợ	NI ƠC_1 |
chó	CHI ON2_5 |
phun	PHI UN_0 NC_0 |
nêu	NI ÊN_0 UC_0 |
kì	KI IN_4 |
trà	TRI AN2_4 |
thăng	THI AN3_0 NGC_0 |
thẩm	THI ÂN_2 MC_2 |
mạc	MI AN1_1 KC_1 |
yến	YÊN_5 NC_5 |
cà	KI AN2_4 |
lí	LI IN_5 |
khảo	KHI AN2_2 UC_2 |
chim	CHI IN_0 MC_0 |
cột	KI ÔN_1 TC_1 |
cấm	KI ÂN_5 MC_5 |
vuông	VI UÔN_0 NGC_0 |
en	EN_0 NC_0 |
thoải	THI WO_2 AN2_2 IC_2 |
khiếp	KHI IÊN_5 PC_5 |
rung	RI UN_0 NGC_0 |
lướt	LI ƯƠN_5 TC_5 |
tạ	TI AN2_1 |
im	IN_0 MC_0 |
ư	ƯC_0 |
hoảng	HI WO_2 AN1_2 NGC_2 |
trinh	TRI IN_0 NGC_0 |
nỗ	NI ÔN_3 |
hiếu	HI IÊN_5 UC_5 |
phẳng	PHI AN3_2 NGC_2 |
huyệt	HI WO_1 YÊN_1 TC_1 |
nhẫn	NHI ÂN_3 NC_3 |
khánh	KHI AN1_5 NGC_5 |
ân	ÂN_0 NC_0 |
mông	MI ÔN_0 NGC_0 |
giảng	ZI AN1_2 NGC_2 |
thấu	THI ÂN_5 UC_5 |
triều	TRI IÊN_4 UC_4 |
lẻ	LI EN_2 |
lông	LI ÔN_0 NGC_0 |
đỗ	DI ÔN_3 |
khấu	KHI ÂN_5 UC_5 |
sốt	SI ÔN_5 TC_5 |
lừa	LI ƯƠN_4 |
lưỡi	LI ƯƠN_3 IC_3 |
họp	HI ON2_1 PC_1 |
kiêu	KI IÊN_0 UC_0 |
chả	CHI AN2_2 |
khái	KHI AN2_5 IC_5 |
ngao	NGI AN2_0 UC_0 |
phê	PHI ÊN_0 |
lưới	LI ƯƠN_5 IC_5 |
giành	ZI AN1_4 NGC_4 |
sài	SI AN2_4 IC_4 |
lở	LI ƠC_2 |
tiềm	TI IÊN_4 MC_4 |
đèn	DI EN_4 NC_4 |
luân	LI WO_0 ÂN_0 NC_0 |
hôi	HI ÔN_0 IC_0 |
thâm	THI ÂN_0 MC_0 |
hảo	HI AN2_2 UC_2 |
ung	UN_0 NGC_0 |
miếng	MI IÊN_5 NGC_5 |
co	KI ON2_0 |
tảng	TI AN1_2 NGC_2 |
lãng	LI AN1_3 NGC_3 |
lăn	LI AN3_0 NC_0 |
phách	PHI AN1_5 KC_5 |
hiền	HI IÊN_4 NC_4 |
phán	PHI AN2_5 NC_5 |
ét	EN_5 TC_5 |
hiếm	HI IÊN_5 MC_5 |
liều	LI IÊN_4 UC_4 |
xưng	XI ƯN_0 NGC_0 |
lóe	LI WO_5 EN_5 |
ni	NI IN_0 |
dồn	ZI ÔN_4 NC_4 |
căng	KI AN3_0 NGC_0 |
phiên	PHI IÊN_0 NC_0 |
ủng	UN_2 NGC_2 |
rắn	RI AN3_5 NC_5 |
gỗ	GI ÔN_3 |
